0820046361700001,0820046361700001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820046362700001,0820046362700001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,F,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820046363600001,0820046363600001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820046363900001,0820046363900001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,F,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820046364000001,0820046364000001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047513400001,0820047513400001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047514000001,0820047514000001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047514300001,0820047514300001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047520100001,0820047520100001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047542500001,0820047542500001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047542800001,0820047542800001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047543400001,0820047543400001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047547800001,0820047547800001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047552400001,0820047552400001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,F,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047552500001,0820047552500001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,F,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047552800001,0820047552800001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,F,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047553100001,0820047553100001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,F,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047553400001,0820047553400001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,F,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047554000001,0820047554000001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
0820047554300001,0820047554300001,036,BLB CUSTOMER,1/1/1990,12345,Musikot,CUS-S,NONE,NONE,NONE,NONE,NONE,,,M,NONE,NONE,NONE,MUSIKOT,MUSIKOT,3,CTZN,12345,FATHER,SPOUSE
